Country Code	Country Name	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
DNK	Denmark	F	F	E	E	E	E	E	F	F	E	E	E	E	E	E	E
DJI	Djibouti	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B
DMA	Dominica	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B
DOM	Dominican Republic	D	D	D	E	D	E	E	E	E	E	E	E	E	E	E	E
ECU	Ecuador	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E
EGY	Egypt	D	D	D	D	D	E	E	E	E	E	E	E	E	E	E	E
SLV	El Salvador	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
GNQ	Equatorial Guinea	B	B	C	B	B	C	C	B	C	C	C	C	C	C	D	D
ERI	Eritrea	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B
EST	Estonia	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D
ETH	Ethiopia	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D
FSM	Federated States of Micronesia	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
FJI	Fiji	E	E	E	E	E	E	E	D	D	D	D	D	D	D	D	D
FIN	Finland	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D
FRA	France	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
GAB	Gabon	D	D	D	C	C	C	C	C	C	C	C	B	C	C	C	B
GMB	Gambia	B	B	B	B	B	B	B	B	A	B	B	B	B	A	B	B
GEO	Georgia	B	B	B	B	B	B	B	B	C	C	C	C	D	C	C	D
DEU	Germany	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
GHA	Ghana	B	B	B	C	C	C	C	C	C	C	C	C	C	C	C	C
GRC	Greece	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
GRD	Grenada	C	C	B	B	B	B	B	B	B	B	B	B	B	B	B	B
GTM	Guatemala	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
GIN	Guinea	B	B	B	B	B	A	B	B	B	A	A	A	B	B	B	A
GNB	Guinea-Bissau	B	A	A	A	B	B	B	A	A	A	A	A	A	A	A	A
GUY	Guyana	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
HTI	Haiti	C	D	C	B	A	A	A	A	B	B	B	B	C	C	C	B
HND	Honduras	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	C
HUN	Hungary	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D
ISL	Iceland	E	E	E	D	D	D	D	D	D	E	D	D	D	D	D	D
IND	India	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
IDN	Indonesia	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
IRN	Iran	D	D	E	E	E	E	F	F	F	F	F	F	F	F	F	F
IRQ	Iraq	A	A	A	A	A	A	C	C	C	D	D	E	E	F	F	E
IRL	Ireland	F	F	F	F	F	F	F	E	E	E	E	E	E	E	E	D
ISR	Israel	E	E	E	D	D	D	D	D	D	D	D	D	D	D	D	D
ITA	Italy	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
JAM	Jamaica	E	E	E	E	E	E	E	E	D	D	D	E	E	E	E	D
JPN	Japan	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
JOR	Jordan	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D
KAZ	Kazakhstan	D	D	D	E	E	E	E	E	E	E	E	E	E	E	E	E
KEN	Kenya	E	D	D	D	D	D	E	E	E	E	E	E	E	E	E	E
KIR	Kiribati	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
KWT	Kuwait	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D
KGZ	Kyrgyzstan	C	C	C	B	C	C	D	C	C	C	D	D	D	D	D	C
LAO	Lao People's Democratic Republic	B	C	C	B	C	C	C	C	C	C	C	C	C	C	C	C
LVA	Latvia	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D
LBN	Lebanon	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D
LSO	Lesotho	B	B	C	C	C	C	C	C	C	A	C	C	C	C	C	C
LBR	Liberia	A	A	B	B	A	A	A	A	C	A	A	A	A	A	A	A
LBY	Libya	D	D	D	D	D	D	D	D	D	E	E	E	D	D	D	D
LTU	Lithuania	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D
LUX	Luxembourg	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D
MDG	Madagascar	C	C	C	C	C	C	C	C	C	C	C	C	C	B	B	C
MWI	Malawi	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
MYS	Malaysia	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
MDV	Maldives	B	B	B	C	C	C	C	C	C	C	D	D	D	D	D	D
MLI	Mali	B	B	B	B	B	B	B	B	B	B	B	B	A	A	A	A
MLT	Malta	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D
MHL	Marshall Islands	C	C	C	C	C	A	A	A	A	A	A	A	A	A	A	A
MRT	Mauritania	C	C	B	B	B	B	B	C	B	C	C	C	C	C	C	C
MUS	Mauritius	C	C	D	D	D	C	C	C	C	C	C	C	C	C	C	C
MEX	Mexico	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
MCO	Monaco	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D
MNG	Mongolia	B	B	B	B	C	C	C	C	C	C	C	C	C	C	C	C
MNE	Montenegro				A	A	A	D	C	D	D	D	D	D	D	D	D
MAR	Morocco	D	D	E	E	E	E	E	E	E	E	E	E	E	E	E	E
MOZ	Mozambique	C	C	C	C	C	C	C	C	C	C	D	D	C	C	C	C
MMR	Myanmar	D	C	E	E	D	C	C	C	C	C	C	C	E	E	E	E
NAM	Namibia	C	C	C	C	C	D	D	D	D	D	D	D	D	D	D	D
NRU	Nauru	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
NPL	Nepal	C	C	C	C	C	C	C	E	E	C	C	C	C	C	C	C
NLD	Netherlands	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
NZL	New Zealand	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
NIC	Nicaragua	A	A	B	B	A	A	A	A	A	A	A	A	A	C	C	B
NER	Niger	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B
NGA	Nigeria	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E
MKD	North Macedonia	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B
NOR	Norway	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
OMN	Oman	C	C	C	C	D	D	D	D	D	D	D	D	D	D	D	D
PAK	Pakistan	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E
PLW	Palau	B	C	C	C	C	C	C	A	B	C	B	B	B	B	B	B
PAN	Panama	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D
PNG	Papua New Guinea	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D
PRY	Paraguay	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B
PER	Peru	E	C	E	E	C	D	E	E	E	E	E	E	E	E	E	E
PHL	Philippines	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E
POL	Poland	D	D	E	F	F	F	F	F	F	F	F	F	F	F	F	F
PRT	Portugal	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
QAT	Qatar	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D
KOR	Republic of Korea	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
MDA	Republic of Moldova	B	B	B	B	B	B	B	B	B	B	B	B	C	C	C	C
COG	Republic of the Congo	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
ROU	Romania	E	E	E	E	E	F	F	F	F	E	D	D	D	D	E	E
RUS	Russian Federation	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
RWA	Rwanda	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B
KNA	Saint Kitts and Nevis	C	C	C	C	B	D	B	B	C	C	C	D	D	D	C	C
LCA	Saint Lucia	C	C	C	C	B	B	B	B	B	B	D	D	D	D	D	D
VCT	Saint Vincent and the Grenadines	C	C	B	C	B	B	B	B	B	B	B	B	B	B	B	B
WSM	Samoa	B	C	B	B	B	B	A	B	B	B	B	B	B	B	B	C
STP	Sao Tome and Principe	A	B	B	B	B	A	A	A	A	A	A	A	B	A	B	A
SAU	Saudi Arabia	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
SEN	Senegal	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D
SRB	Serbia				D	B	D	C	C	C	C	C	C	C	C	C	C
SYC	Seychelles	E	E	E	E	E	E	D	D	D	D	D	D	E	E	E	E
SLE	Sierra Leone	B	B	B	B	B	B	B	A	B	B	A	A	A	A	A	A
SGP	Singapore	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D
SVK	Slovakia	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D
SVN	Slovenia	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D
SLB	Solomon Islands	B	B	B	B	B	C	C	C	B	B	B	B	B	C	C	C
SOM	Somalia	B	B	A	B	B	B	C	B	B	C	C	C	C	C	C	C
ZAF	South Africa	E	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
SSD	South Sudan									A	A	A	A	A	A	A	A
ESP	Spain	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
LKA	Sri Lanka	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	D
SDN	Sudan	B	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D
SUR	Suriname	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B
SWZ	Swaziland	B	B	B	B	B	B	A	A	A	A	A	A	A	A	A	A
SWE	Sweden	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
CHE	Switzerland	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
SYR	Syrian Arab Republic	D	D	D	D	D	D	D	D	D	D	C	A	A	C	B	B
TJK	Tajikistan	A	A	A	B	B	B	B	B	C	C	C	C	C	C	C	C
THA	Thailand	E	E	E	E	E	E	E	F	F	F	F	F	F	F	F	F
TLS	Timor-Leste	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
TGO	Togo	B	B	B	A	A	A	B	B	B	B	B	B	B	B	B	B
TON	Tonga	C	C	C	C	C	C	C	A	A	A	A	A	A	A	A	A
TTO	Trinidad and Tobago	D	D	D	D	D	E	E	E	D	D	D	D	D	D	D	D
TUN	Tunisia	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D
TUR	Turkey	E	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
TKM	Turkmenistan	C	C	C	C	C	C	C	C	C	C	C	C	D	D	D	D
TUV	Tuvalu	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
UGA	Uganda	B	B	C	B	B	B	D	D	D	D	D	D	D	D	D	D
UKR	Ukraine	D	D	D	D	D	D	D	D	D	D	E	D	E	E	E	E
ARE	United Arab Emirates	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
GBR	United Kingdom	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
TZA	United Republic of Tanzania	D	D	D	D	D	D	E	D	E	E	E	D	E	E	E	E
USA	United States	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
URY	Uruguay	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D
UZB	Uzbekistan	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D
VUT	Vanuatu	C	C	C	C	C	C	C	B	C	C	C	C	B	B	C	C
VEN	Venezuela	F	F	F	F	F	E	E	E	E	D	D	E	E	D	D	D
VNM	Viet Nam	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E
YEM	Yemen	B	B	B	B	B	C	C	C	C	C	C	C	C	B	A	A
ZMB	Zambia	C	C	C	C	D	D	D	C	D	D	D	D	D	D	C	C
ZWE	Zimbabwe	C	C	C	C	C	C	C	C	D	D	D	C	C	C	C	C
